  -85000  -83050,     1.946269,     0.617099,    -0.706006,    -1.848505,    -2.604039,    -2.561654,    -2.016543,    -0.818770,     0.613200,     1.960358,     2.666867,     2.751722
  -84000  -82050,     2.392662,     1.112324,    -0.206021,    -1.526983,    -2.506909,    -2.709858,    -2.388999,    -1.334169,     0.100445,     1.570421,     2.550506,     2.946580
  -83000  -81050,     2.719969,     1.567789,     0.327028,    -1.114934,    -2.282757,    -2.728281,    -2.646619,    -1.782572,    -0.417680,     1.092278,     2.288019,     2.977760
  -82000  -80050,     2.900694,     1.945607,     0.852152,    -0.641677,    -1.947971,    -2.619065,    -2.776892,    -2.135741,    -0.901343,     0.569746,     1.908013,     2.846476
  -81000  -79050,     2.921370,     2.213631,     1.326861,    -0.142437,    -1.526397,    -2.391812,    -2.775476,    -2.373839,    -1.316799,     0.046820,     1.448312,     2.569766
  -80000  -78050,     2.784451,     2.349569,     1.711258,     0.343668,    -1.048799,    -2.063467,    -2.645951,    -2.485488,    -1.637927,    -0.436288,     0.951104,     2.177870
  -79000  -77050,     2.507814,     2.344081,     1.972664,     0.776734,    -0.551566,    -1.658051,    -2.399635,    -2.467564,    -1.846840,    -0.845871,     0.458307,     1.709928
  -78000  -76050,     2.121996,     2.202064,     2.089890,     1.120107,    -0.074414,    -1.205947,    -2.055380,    -2.324954,    -1.933945,    -1.156250,     0.007833,     1.209000
  -77000  -75050,     1.665841,     1.941770,     2.056193,     1.344766,     0.343010,    -0.742417,    -1.639140,    -2.070318,    -1.897742,    -1.350388,    -0.368948,     0.717373
  -76000  -74050,     1.181556,     1.591963,     1.880114,     1.433180,     0.665332,    -0.305124,    -1.182980,    -1.723772,    -1.744556,    -1.419932,    -0.648616,     0.272834
  -75000  -73050,     0.710126,     1.187839,     1.583978,     1.381717,     0.865785,     0.069321,    -0.723248,    -1.312244,    -1.488227,    -1.364984,    -0.816233,    -0.093831
  -74000  -72050,     0.287723,     0.766594,     1.200426,     1.200964,     0.929787,     0.349401,    -0.297760,    -0.868224,    -1.149632,    -1.193754,    -0.865345,    -0.360179
  -73000  -71050,    -0.056658,     0.363492,     0.767825,     0.913853,     0.856846,     0.512628,     0.057879,    -0.427662,    -0.755819,    -0.922098,    -0.797691,    -0.512594
  -72000  -70050,    -0.302420,     0.008886,     0.325553,     0.552077,     0.660312,     0.548507,     0.314331,    -0.026957,    -0.338514,    -0.572816,    -0.622761,    -0.546197
  -71000  -69050,    -0.437740,    -0.273627,    -0.090034,     0.151666,     0.365012,     0.459754,     0.452187,     0.300733,     0.068175,    -0.174484,    -0.357188,    -0.464453
  -70000  -68050,    -0.459375,    -0.468074,    -0.448496,    -0.251361,     0.003377,     0.261472,     0.464395,     0.529301,     0.430803,     0.240370,    -0.023839,    -0.278573
  -69000  -67050,    -0.372145,    -0.566243,    -0.727010,    -0.624557,    -0.389008,    -0.021517,     0.356838,     0.642874,     0.720078,     0.637828,     0.349550,    -0.006686
  -68000  -66050,    -0.188172,    -0.567358,    -0.911036,    -0.941484,    -0.777567,    -0.358496,     0.146918,     0.637597,     0.914192,     0.985748,     0.732349,     0.327310
  -67000  -65050,     0.074117,    -0.477452,    -0.994248,    -1.183024,    -1.131980,    -0.716966,    -0.139478,     0.521613,     1.001331,     1.257117,     1.093592,     0.695378
  -66000  -64050,     0.391324,    -0.308536,    -0.977995,    -1.337766,    -1.428278,    -1.066276,    -0.471872,     0.313229,     0.980754,     1.433019,     1.404910,     1.067486
  -65000  -63050,     0.736806,    -0.077545,    -0.870454,    -1.401737,    -1.649838,    -1.380309,    -0.819121,     0.037781,     0.862207,     1.504578,     1.643435,     1.414198
  -64000  -62050,     1.082810,     0.194983,    -0.685564,    -1.377729,    -1.787517,    -1.639085,    -1.152692,    -0.276076,     0.663855,     1.473448,     1.794127,     1.709440
  -63000  -61050,     1.402874,     0.486513,    -0.441740,    -1.274360,    -1.839188,    -1.829384,    -1.448947,    -0.599889,     0.409252,     1.350780,     1.851065,     1.933026
  -62000  -60050,     1.674210,     0.774350,    -0.160361,    -1.104957,    -1.808913,    -1.944641,    -1.690385,    -0.908212,     0.124035,     1.154951,     1.817438,     2.072486
  -61000  -59050,     1.879738,     1.037565,     0.135948,    -0.886278,    -1.705895,    -1.984345,    -1.865978,    -1.180445,    -0.167037,     0.908600,     1.704276,     2.123851
  -60000  -58050,     2.009387,     1.258761,     0.425148,    -0.637102,    -1.543288,    -1.953151,    -1.970869,    -1.401730,    -0.442334,     0.635617,     1.528286,     2.091275
  -59000  -57050,     2.060478,     1.425443,     0.687552,    -0.376720,    -1.336919,    -1.859839,    -2.005648,    -1.563066,    -0.684723,     0.358553,     1.309260,     1.985629
  -58000  -56050,     2.037143,     1.530742,     0.907333,    -0.123440,    -1.103936,    -1.716186,    -1.975399,    -1.660873,    -0.882140,     0.096765,     1.067573,     1.822417
  -57000  -55050,     1.948965,     1.573437,     1.073534,     0.106762,    -0.861478,    -1.535808,    -1.888633,    -1.696225,    -1.027518,    -0.134648,     0.822134,     1.619477
  -56000  -54050,     1.809171,     1.557287,     1.180481,     0.301292,    -0.625432,    -1.333027,    -1.756200,    -1.673902,    -1.118291,    -0.325196,     0.588979,     1.394839
  -55000  -53050,     1.632712,     1.489879,     1.227547,     0.451550,    -0.409404,    -1.121807,    -1.590225,    -1.601389,    -1.155634,    -0.468806,     0.380526,     1.165051
  -54000  -52050,     1.434563,     1.381233,     1.218385,     0.553070,    -0.223999,    -0.914848,    -1.403127,    -1.487897,    -1.143590,    -0.563269,     0.205407,     0.944072
  -53000  -51050,     1.228421,     1.242405,     1.159806,     0.605186,    -0.076488,    -0.722905,    -1.206766,    -1.343446,    -1.088192,    -0.609486,     0.068724,     0.742742
  -52000  -50050,     1.025892,     1.084320,     1.060532,     0.610345,     0.029138,    -0.554377,    -1.011793,    -1.178097,    -0.996635,    -0.610651,    -0.027412,     0.568738
  -51000  -49050,     0.836150,     0.916917,     0.930032,     0.573225,     0.091785,    -0.415217,    -0.827218,    -1.001329,    -0.876564,    -0.571447,    -0.083215,     0.426880
  -50000  -48050,     0.665974,     0.748675,     0.777591,     0.499817,     0.112642,    -0.309090,    -0.660246,    -0.821642,    -0.735517,    -0.497343,    -0.100515,     0.319654
  -49000  -47050,     0.520075,     0.586471,     0.611699,     0.396625,     0.094475,    -0.237758,    -0.516339,    -0.646363,    -0.580552,    -0.394044,    -0.082120,     0.247830
  -48000  -46050,     0.401571,     0.435711,     0.439769,     0.270085,     0.040970,    -0.201557,    -0.399470,    -0.481672,    -0.418078,    -0.267113,    -0.031286,     0.211071
  -47000  -45050,     0.312507,     0.300635,     0.268146,     0.126239,    -0.043782,    -0.199876,    -0.312482,    -0.332795,    -0.253871,    -0.121805,     0.048632,     0.208453
  -46000  -44050,     0.254343,     0.184712,     0.102329,    -0.029326,    -0.155581,    -0.231539,    -0.257458,    -0.204293,    -0.093258,     0.036898,     0.154349,     0.238824
  -45000  -43050,     0.228301,     0.091017,    -0.052683,    -0.191341,    -0.290188,    -0.295005,    -0.236010,    -0.100377,     0.058604,     0.204090,     0.282608,     0.300984
  -44000  -42050,     0.235549,     0.022531,    -0.192035,    -0.354581,    -0.443187,    -0.388381,    -0.249393,    -0.025136,     0.196421,     0.374609,     0.429961,     0.393643
  -43000  -41050,     0.277174,    -0.017708,    -0.310714,    -0.513553,    -0.609710,    -0.509232,    -0.298433,     0.017391,     0.314529,     0.542668,     0.592407,     0.515178
  -42000  -40050,     0.353931,    -0.026633,    -0.403404,    -0.662229,    -0.784108,    -0.654254,    -0.383224,     0.023373,     0.406818,     0.701548,     0.764962,     0.663221
  -41000  -39050,     0.465801,    -0.001386,    -0.464533,    -0.793918,    -0.959672,    -0.818890,    -0.502677,    -0.010425,     0.466897,     0.843435,     0.941240,     0.834127
  -40000  -38050,     0.611402,     0.060264,    -0.488543,    -0.901319,    -1.128481,    -0.996992,    -0.653981,    -0.086026,     0.488541,     0.959530,     1.113177,     1.022427
