YearBP, JanDiff, FebDiff, MarDiff, AprDiff, MayDiff, JunDiff, JulDiff, AugDiff, SepDiff, OctDiff, NovDiff, DecDiff
  -54000,    3.015379,    1.578993,    0.230792,   -0.700371,   -0.899059,   -0.305711,   -0.910465,   -2.431130,   -3.793058,   -4.662455,   -4.820114,   -4.228852
  -53000,    2.723616,    1.463009,    0.220844,   -0.704816,   -1.004838,   -0.589469,   -0.422582,   -1.765261,   -3.026071,   -3.892774,   -4.147185,   -3.728802
  -52000,    2.385764,    1.309043,    0.202760,   -0.672017,   -1.026721,   -0.755020,   -0.065989,   -1.220003,   -2.349425,   -3.171401,   -3.478818,   -3.198666
  -51000,    2.023524,    1.129005,    0.178347,   -0.607633,   -0.972394,   -0.806309,    0.155371,   -0.808992,   -1.785567,   -2.527045,   -2.846112,   -2.667236
  -50000,    1.655661,    0.933854,    0.149398,   -0.517906,   -0.852008,   -0.752156,    0.244575,   -0.537422,   -1.347981,   -1.979815,   -2.272800,   -2.157938
  -49000,    1.297604,    0.733111,    0.117564,   -0.409044,   -0.676764,   -0.604287,    0.209519,   -0.404172,   -1.043019,   -1.542577,   -1.775992,   -1.688932
  -48000,    0.961647,    0.534740,    0.084301,   -0.286831,   -0.457867,   -0.375677,    0.060894,   -0.403959,   -0.871975,   -1.222751,   -1.367523,   -1.273876
  -47000,    0.657560,    0.345325,    0.050857,   -0.156469,   -0.205928,   -0.079439,   -0.189371,   -0.529180,   -0.833020,   -1.024167,   -1.055539,   -0.923073
  -46000,    0.393408,    0.170441,    0.018321,   -0.022624,    0.069181,    0.271685,   -0.529004,   -0.771139,   -0.922679,   -0.948657,   -0.846015,   -0.644722
  -45000,    0.176376,    0.015100,   -0.012320,    0.110386,    0.358100,    0.665246,   -0.945565,   -1.120539,   -1.136619,   -0.997083,   -0.743916,   -0.446013
  -44000,    0.013427,   -0.115841,   -0.040106,    0.238328,    0.651501,    1.088540,   -1.425975,   -1.567185,   -1.469634,   -1.169662,   -0.753795,   -0.333860
  -43000,   -0.088347,   -0.217392,   -0.064047,    0.356802,    0.939531,    1.527816,   -1.955574,   -2.099036,   -1.914859,   -1.465484,   -0.879694,   -0.315109
  -42000,   -0.121771,   -0.284346,   -0.083090,    0.461053,    1.211328,    1.967453,   -2.516973,   -2.700819,   -2.462339,   -1.881299,   -1.124323,   -0.396160
  -41000,   -0.080075,   -0.311432,   -0.096128,    0.545930,    1.454762,    2.389361,   -3.089021,   -3.352544,   -3.097256,   -2.409727,   -1.487579,   -0.581973
  -40000,    0.042175,   -0.293720,   -0.102047,    0.606000,    1.656521,    2.772817,   -3.646188,   -4.028283,   -3.798145,   -3.037202,   -1.964597,   -0.874558
  -39000,    0.247797,   -0.227274,   -0.099823,    0.635853,    1.802600,    3.094906,   -4.158654,   -4.695604,   -4.535563,   -3.742020,   -2.543600,   -1.271095
  -38000,    0.535467,   -0.109989,   -0.088651,    0.630588,    1.879220,    3.331625,   -4.593280,   -5.315995,   -5.271627,   -4.492961,   -3.203943,   -1.761951
  -37000,    0.898157,    0.057463,   -0.068112,    0.586442,    1.874122,    3.459656,   -4.915538,   -5.846483,   -5.960811,   -5.248963,   -3.914805,   -2.328916
  -36000,    1.321785,    0.270691,   -0.038343,    0.501521,    1.778173,    3.458697,   -5.092340,   -6.242501,   -6.552231,   -5.960252,   -4.635000,   -2.944090
  -35000,    1.784407,    0.520810,   -0.000210,    0.376560,    1.587115,    3.314180,   -5.095560,   -6.461888,   -6.993461,   -6.571199,   -5.314356,   -3.569845
  -34000,    2.256302,    0.794027,    0.044567,    0.215609,    1.303305,    3.020107,   -4.905943,   -6.469671,   -7.235649,   -7.024917,   -5.896914,   -4.160294
  -33000,    2.701284,    1.071821,    0.093357,    0.026520,    0.937176,    2.581679,   -4.516967,   -6.243136,   -7.239452,   -7.269267,   -6.325959,   -4.664498
  -32000,    3.079447,    1.331888,    0.142679,   -0.178926,    0.508129,    2.017302,   -3.938149,   -5.776558,   -6.981058,   -7.263632,   -6.550465,   -5.031396
  -31000,    3.351270,    1.549990,    0.188406,   -0.385403,    0.044515,    1.359510,   -3.197215,   -5.084857,   -6.457415,   -6.985492,   -6.532154,   -5.216007
  -30000,    3.482691,    1.702615,    0.226139,   -0.575078,   -0.417643,    0.654304,   -2.340526,   -4.205449,   -5.689761,   -6.435695,   -6.252045,   -5.186019
  -29000,    3.450331,    1.770152,    0.251714,   -0.729314,   -0.837370,   -0.041485,   -1.431250,   -3.197666,   -4.724635,   -5.641373,   -5.715217,   -4.927592
  -28000,    3.245852,    1.740021,    0.261787,   -0.830909,   -1.172878,   -0.664953,   -0.544960,   -2.139331,   -3.631839,   -4.655736,   -4.952745,   -4.449127
  -27000,    2.878423,    1.609101,    0.254380,   -0.866552,   -1.386702,   -1.153741,    0.237238,   -1.120464,   -2.499244,   -3.554467,   -4.020200,   -3.782085
  -26000,    2.374668,    1.384856,    0.229274,   -0.829007,   -1.451039,   -1.453736,    0.837447,   -0.234595,   -1.424834,   -2.429016,   -2.992789,   -2.978520
  -25000,    1.776006,    1.084839,    0.188139,   -0.718537,   -1.352225,   -1.526601,    1.190430,    0.431319,   -0.506908,   -1.377663,   -1.957865,   -2.105743
  -24000,    1.133961,    0.734689,    0.134372,   -0.543207,   -1.093376,   -1.355705,    1.252280,    0.807018,    0.166314,   -0.495584,   -1.005999,   -1.239100
  -23000,    0.504400,    0.365064,    0.072683,   -0.317974,   -0.694528,   -0.949207,    1.006764,    0.847591,    0.526305,    0.134783,   -0.221939,   -0.454134
  -22000,   -0.058262,    0.008176,    0.008518,   -0.062813,   -0.190274,   -0.339621,    0.468167,    0.539344,    0.531848,    0.451931,    0.323405,    0.180702
  -21000,   -0.506058,   -0.305471,   -0.052549,    0.199709,    0.374545,    0.420013,   -0.319879,   -0.097983,    0.173771,    0.421260,    0.579224,    0.609980
  -20000,   -0.801234,   -0.549709,   -0.105361,    0.446903,    0.950134,    1.262474,   -1.289283,   -1.012936,   -0.523674,    0.038452,    0.518991,    0.795544
  -19000,   -0.918731,   -0.704557,   -0.145594,    0.658093,    1.487024,    2.113964,   -2.355161,   -2.127657,   -1.504837,   -0.669885,    0.142575,    0.719098
  -18000,   -0.847550,   -0.757347,   -0.170036,    0.816211,    1.940578,    2.901642,   -3.424890,   -3.345921,   -2.687802,   -1.648208,   -0.523611,    0.383347
  -17000,   -0.591277,   -0.703282,   -0.176744,    0.908833,    2.274346,    3.560103,   -4.407203,   -4.562743,   -3.972037,   -2.816519,   -1.428323,   -0.188110
  -16000,   -0.167908,   -0.545603,   -0.165121,    0.928752,    2.462250,    4.036301,   -5.220215,   -5.674293,   -5.247705,   -4.077033,   -2.499030,   -0.952065
  -15000,    0.390961,   -0.295460,   -0.135924,    0.874229,    2.489808,    4.292851,   -5.797756,   -6.587051,   -6.405687,   -5.322572,   -3.647286,   -1.848261
  -14000,    1.041757,    0.028541,   -0.091244,    0.749023,    2.354656,    4.309948,   -6.093830,   -7.225417,   -7.347299,   -6.446061,   -4.775803,   -2.803378
  -13000,    1.731548,    0.401194,   -0.034419,    0.562258,    2.066589,    4.086210,   -6.085338,   -7.537390,   -7.992836,   -7.350242,   -5.786875,   -3.736557
  -12000,    2.401858,    0.792150,    0.030108,    0.328073,    1.647174,    3.638682,   -5.773296,   -7.498205,   -8.288284,   -7.956691,   -6.591474,   -4.566315
